标题,房屋结构,楼层信息,朝向,总面积,小区名,             所属区县,地区,装修信息,梯户比例,挂牌时间,房屋用途,产权信息,总价,单价,抵押信息
星洲国际 4室1厅 南,4室1厅,高楼层(共34层),南,44,星洲国际,南昌县,莲塘,其他,一梯六户,2023-03-17,普通住宅,非共有,55.8,12682,暂无数据
幸福北路320号 2室2厅 南 北,2室2厅,低楼层(共6层),南 北,86.5,幸福北路320号,新建区,红湾大道以北,其他,一梯两户,2023-03-17,普通住宅,非共有,85,9827,暂无数据
台湾花园 2室2厅 南,2室2厅,低楼层(共15层),南,93.2,台湾花园,高新区,高新管委会,其他,两梯三户,2023-03-17,普通住宅,非共有,120,12876,暂无数据
南天阳光东区 2室2厅 南 北,2室2厅,中楼层(共9层),南 北,89,南天阳光东区,经开区,黄家湖,其他,一梯两户,2023-03-17,普通住宅,非共有,106,11911,暂无数据
东投阳光城 3室2厅 南 北,3室2厅,中楼层(共18层),南 北,108.1,东投阳光城,新建区,新建县,其他,一梯四户,2023-03-17,普通住宅,非共有,50,4626,暂无数据
江铃瓦良格 3室2厅 南,3室2厅,中楼层(共33层),南,108,江铃瓦良格,南昌县,银三角,其他,两梯四户,2023-03-17,普通住宅,非共有,90,8334,暂无数据
B2 带车位的价格，小区管理严谨，采光好,3室2厅,低楼层(共34层),南,107.95,通源新建城B2,新建区,红谷滩,毛坯,两梯四户,2023-03-17,普通住宅,非共有,80,7411,无抵押
此房产权清晰，交易安全，户型方正，装修拎包入住,2室2厅,高楼层(共32层),南,48,天兴翰林苑,新建区,红湾大道以南,精装,两梯五户,2023-03-17,普通住宅,非共有,55.8,11625,无抵押
天兴翰林苑 4室2厅 南,4室2厅,低楼层(共32层),南,171.73,天兴翰林苑,新建区,红湾大道以南,其他,两梯两户,2023-03-17,普通住宅,非共有,180,10482,暂无数据
金佳云舒花城 3室2厅 南 北,3室2厅,中楼层(共8层),南 北,106.52,金佳云舒花城,湾里区,天宁路,其他,一梯两户,2023-03-17,普通住宅,非共有,91,8543,暂无数据
精装 住家标准 进出方便 带车位和院子,5室2厅,3层,南 北,120,龙隐山,新建区,新建县,精装,一梯五户,2023-03-17,普通住宅,非共有,208,17334,有抵押 60万元
力高国际城三期 4室1厅 东南,4室1厅,高楼层(共33层),东南,113.51,力高国际城三期,南昌县,象湖,其他,两梯四户,2023-03-17,普通住宅,非共有,106,9339,暂无数据
湾里一 中旁新小区精装小两房好楼层诚意出售,2室2厅,中楼层(共5层),南,68,华洪小区二期,湾里区,湾里区,精装,一梯两户,2023-03-17,普通住宅,非共有,55,8089,无抵押
绿地中央公园 4室2厅 南,4室2厅,高楼层(共32层),南,159.17,绿地中央公园,新建区,红湾大道以南,精装,两梯两户,2023-03-17,普通住宅,非共有,350,21990,无抵押
产权清晰，适合老人居住，出入方便，看房预约。,2室1厅,低楼层(共6层),南 北,55.36,渊明北路,东湖区,八一公园,精装,一梯两户,2023-03-17,普通住宅,共有,69,12464,无抵押
地铁一号线旁万象汇口次新小区生活交通便利业主诚售,3室1厅,中楼层(共11层),南,142.52,天泽园,青山湖区,青山湖区,精装,一梯两户,2023-03-17,普通住宅,共有,190,13332,无抵押
新力合园 3室2厅 南,3室2厅,低楼层(共34层),南,90.58,新力合园,红谷滩,红谷滩,其他,一梯四户,2023-03-17,普通住宅,非共有,102,11261,暂无数据
西水滨鹭岛 3室2厅 南 北,3室2厅,中楼层(共6层),南 北,111,西水滨鹭岛,南昌县,昌南,其他,一梯两户,2023-03-17,普通住宅,非共有,90,8109,暂无数据
莲武路 2室1厅 南,2室1厅,中楼层(共5层),南,84.55,莲武路,南昌县,莲塘,其他,一梯两户,2023-03-17,普通住宅,非共有,52,6151,暂无数据
绿地悦公馆高层，楼层位置好，采光好,3室2厅,中楼层(共30层),南,118,绿地悦公馆,经开区,紫荆路,简装,两梯四户,2023-03-17,普通住宅,非共有,120,10170,无抵押
上峰景城 2室1厅 南,2室1厅,高楼层(共28层),南,79,上峰景城,南昌县,莲塘,毛坯,两梯四户,2023-03-17,普通住宅,非共有,79,10000,无抵押
